deck,slide_number,item_name,line_index,line_text
Menu Flash Cards,56,Kid’s Eggies,2,Breakfast potatoes
Menu Flash Cards,56,Kid’s Eggies,3,Dry English muffin
Menu Flash Cards,56,Kid’s Eggies,4,Served on a round plate
Menu Flash Cards,57,Kid’s Daisy Cakes,0,Kid’s Daisy Cakes
Menu Flash Cards,57,Kid’s Daisy Cakes,1,Silver dollar pancakes
Menu Flash Cards,57,Kid’s Daisy Cakes,2,Served on a round plate
Menu Flash Cards,57,Kid’s Daisy Cakes,3,Ramekin of bananas and strawberries
Menu Flash Cards,57,Kid’s Daisy Cakes,4,Served with a bottle of syrup
Menu Flash Cards,58,Kid’s Bowl of Cereal,0,Kid’s Bowl of Cereal
Menu Flash Cards,58,Kid’s Bowl of Cereal,1,Choice of cereal
Menu Flash Cards,58,Kid’s Bowl of Cereal,2,Served in a soup bowl on an oval plate with a doilie
Menu Flash Cards,58,Kid’s Bowl of Cereal,3,Ceramic pitcher of milk choice and a soup spoon
Menu Flash Cards,59,Kid’s Volcano French Toast,0,Kid’s Volcano French Toast
Menu Flash Cards,59,Kid’s Volcano French Toast,1,French toast strips
Menu Flash Cards,59,Kid’s Volcano French Toast,2,Sliced strawberries
Menu Flash Cards,59,Kid’s Volcano French Toast,3,Whipped cream
Menu Flash Cards,59,Kid’s Volcano French Toast,4,Served on a round plate with a bottle of syrup
Menu Flash Cards,60,Kid’s Pancakes,0,Kid’s Pancakes
Menu Flash Cards,60,Kid’s Pancakes,1,2 Pancakes
Menu Flash Cards,60,Kid’s Pancakes,2,Served on an oval plate with a purple scoop of butter and a bottle of syrup
Menu Flash Cards,61,Kid’s Waffle Wedges,0,Kid’s Waffle Wedges
Menu Flash Cards,61,Kid’s Waffle Wedges,1,1 Belgian waffle cut in wedges
Menu Flash Cards,61,Kid’s Waffle Wedges,2,Served on an oval plate with a purple scoop of butter and a bottle of syrup
Menu Flash Cards,62,Kid’s French Toast,0,Kid’s French Toast
Menu Flash Cards,62,Kid’s French Toast,1,2 slices of French toast
Menu Flash Cards,62,Kid’s French Toast,2,Served on an oval plate with a purple scoop of butter and a bottle of  syrup
Menu Flash Cards,63,Cinnamon Swirlz,0,Cinnamon Swirlz
Menu Flash Cards,63,Cinnamon Swirlz,1,Cinnamon sugar swirl
Menu Flash Cards,63,Cinnamon Swirlz,2,Cream cheese frosting drizzle
Menu Flash Cards,64,Cookies & Cream Style,0,Cookies & Cream Style
Menu Flash Cards,64,Cookies & Cream Style,1,Oreo cookie pieces
Menu Flash Cards,64,Cookies & Cream Style,2,Whipped cream
Menu Flash Cards,65,Kid’s Fruity Style,0,Kid’s Fruity Style
Menu Flash Cards,65,Kid’s Fruity Style,1,Bananas
Menu Flash Cards,65,Kid’s Fruity Style,2,Blueberries
Menu Flash Cards,65,Kid’s Fruity Style,3,Strawberries
Menu Flash Cards,65,Kid’s Fruity Style,4,Served with syrup
Menu Flash Cards,66,Kid’s S’Mores Style,0,Kid’s S’Mores Style
Menu Flash Cards,66,Kid’s S’Mores Style,1,Mini marshmallows
Menu Flash Cards,66,Kid’s S’Mores Style,2,Chocolate chips
Menu Flash Cards,66,Kid’s S’Mores Style,3,Graham cracker crumbs
Menu Flash Cards,66,Kid’s S’Mores Style,4,Chocolate syrup
Menu Flash Cards,67,Kid’s Grilled Cheese,0,Kid’s Grilled Cheese
Menu Flash Cards,67,Kid’s Grilled Cheese,1,Sourdough Bread
Menu Flash Cards,67,Kid’s Grilled Cheese,2,American Cheese
Menu Flash Cards,67,Kid’s Grilled Cheese,3,Choice of kid’s side
Menu Flash Cards,67,Kid’s Grilled Cheese,4,Served on a round plate
Menu Flash Cards,68,Mac N Cheese,0,Mac N Cheese
Menu Flash Cards,68,Mac N Cheese,1,Kraft White Cheddar Mac N Cheese
Menu Flash Cards,68,Mac N Cheese,2,Choice of kid’s side
Menu Flash Cards,68,Mac N Cheese,3,Served in soup bowl on an oval plate with a doilie
Menu Flash Cards,69,Kid’s Chicken Tenders,0,Kid’s Chicken Tenders
Menu Flash Cards,69,Kid’s Chicken Tenders,1,3 Tyson Chicken Tenders
Menu Flash Cards,69,Kid’s Chicken Tenders,2,Choice of Kid’s Side
Menu Flash Cards,69,Kid’s Chicken Tenders,3,Served on a round plate
Menu Flash Cards,70,Side of Multigrain,0,Side of Multigrain
Menu Flash Cards,70,Side of Multigrain,1,Two slices of multigrain on a side plate
Menu Flash Cards,71,Side of Sourdough,0,Side of Sourdough
Menu Flash Cards,71,Side of Sourdough,1,Two slices of toasted sourdough on a side plate
Menu Flash Cards,72,Side of Rye,0,Side of Rye
Menu Flash Cards,72,Side of Rye,1,Two slices of toasted rye on a side plate
Menu Flash Cards,73,Side of English Muffin,0,Side of English Muffin
Menu Flash Cards,73,Side of English Muffin,1,One whole toasted English muffin on a side plate
Menu Flash Cards,74,Side of Bagel,0,Side of Bagel
Menu Flash Cards,74,Side of Bagel,1,One whole toasted Bagel on a side plate
Menu Flash Cards,75,Side of Ciabatta,0,Side of Ciabatta
Menu Flash Cards,75,Side of Ciabatta,1,One whole toasted ciabatta on a side plate
Menu Flash Cards,76,Side of Udi’s Gluten Free Bread,0,Side of Udi’s Gluten Free Bread
Menu Flash Cards,76,Side of Udi’s Gluten Free Bread,1,Two slices of toasted Udi’s Gluten Free bread on a side plate
Menu Flash Cards,77,Side of Cornbread,0,Side of Cornbread
Menu Flash Cards,77,Side of Cornbread,1,Two pieces of toasted cornbread on a side plate
Menu Flash Cards,78,Side of Bacon,0,Side of Bacon
Menu Flash Cards,78,Side of Bacon,1,Three pieces of bacon on a side plate
Menu Flash Cards,79,Side of Pork Roll,0,Side of Pork Roll
Menu Flash Cards,79,Side of Pork Roll,1,Three pieces of pork roll on a side plate
Menu Flash Cards,80,Side of Ham,0,Side of Ham
Menu Flash Cards,80,Side of Ham,1,Two slices of seared ham on a side plate
Menu Flash Cards,81,Side of Chicken Sausage,0,Side of Chicken Sausage
Menu Flash Cards,81,Side of Chicken Sausage,1,Two pieces of chicken sausage on a side plate
Menu Flash Cards,82,Side of Pork Sausage,0,Side of Pork Sausage
Menu Flash Cards,82,Side of Pork Sausage,1,Two pieces of pork sausage on a side plate
Menu Flash Cards,83,Side of Beyond Breakfast Sausage,0,Side of Beyond Breakfast Sausage
Menu Flash Cards,83,Side of Beyond Breakfast Sausage,1,Two pieces of Beyond Breakfast Sausage on a side plate
Menu Flash Cards,84,Side of Grilled Chicken,0,Side of Grilled Chicken
Menu Flash Cards,84,Side of Grilled Chicken,1,1 grilled chicken breast (10-11 slices) on a side plate
Menu Flash Cards,85,Side of Chicken Tenders,0,Side of Chicken Tenders
Menu Flash Cards,85,Side of Chicken Tenders,1,Three chicken tenders on a side plate
Menu Flash Cards,86,Side of Scrambled Eggs,0,Side of Scrambled Eggs
Menu Flash Cards,86,Side of Scrambled Eggs,1,Two scrambled eggs on a side plate
Menu Flash Cards,87,Side of Egg Whites,0,Side of Egg Whites
Menu Flash Cards,87,Side of Egg Whites,1,Two scrambled egg whites on a side plate
Menu Flash Cards,88,Side of Sunny Side Up Eggs,0,Side of Sunny Side Up Eggs
Menu Flash Cards,88,Side of Sunny Side Up Eggs,1,Two sunny side up eggs on a side plate
Menu Flash Cards,89,Side of Over Easy Eggs,0,Side of Over Easy Eggs
Menu Flash Cards,89,Side of Over Easy Eggs,1,Two over easy eggs on a side plate
Menu Flash Cards,90,Side of Over Medium Eggs,0,Side of Over Medium Eggs
Menu Flash Cards,90,Side of Over Medium Eggs,1,Two over medium eggs on a side plate
Menu Flash Cards,91,Side of Over Hard Eggs,0,Side of Over Hard Eggs
Menu Flash Cards,91,Side of Over Hard Eggs,1,Two over hard eggs on a side plate
Menu Flash Cards,92,Side of Poached Eggs,0,Side of Poached Eggs
Menu Flash Cards,92,Side of Poached Eggs,1,Two poached eggs in a soup cup on a side plate with a doilie
Menu Flash Cards,93,Side of Vegan Just Eggs,0,Side of Vegan Just Eggs
Menu Flash Cards,93,Side of Vegan Just Eggs,1,Two scrambled Just Eggs on a side plate
Menu Flash Cards,94,Side of Potatoes,0,Side of Potatoes
Menu Flash Cards,94,Side of Potatoes,1,Potatoes on a side plate
Menu Flash Cards,95,Side of Citrus Dressed Mixed Greens,0,Side of Citrus Dressed Mixed Greens
Menu Flash Cards,95,Side of Citrus Dressed Mixed Greens,1,Mixed greens in a soup bowl drizzled with lemon vinaigrette
Menu Flash Cards,96,Side of Cheese Grits,0,Side of Cheese Grits
Menu Flash Cards,96,Side of Cheese Grits,1,Cheese Grits in a soup cup on a side plate with a doilie and a soup spoon
Menu Flash Cards,97,Side of Mac & Cheese,0,Side of Mac & Cheese
Menu Flash Cards,97,Side of Mac & Cheese,1,White cheddar mac & cheese in a soup cup on a side plate with a doilie
Menu Flash Cards,98,Fruit Cup,0,Fruit Cup
Menu Flash Cards,98,Fruit Cup,1,"Pineapple, Grapes, Strawberries and Blueberries"
Menu Flash Cards,98,Fruit Cup,2,In a soup cup on a side plate with a doilie
Menu Flash Cards,98,Fruit Cup,3,"Served when subbing for mixed greens, potatoes, or bread"
Menu Flash Cards,99,Fruit Bowl,0,Fruit Bowl
Menu Flash Cards,99,Fruit Bowl,1,"Pineapple, Grapes, Banana, Strawberries, and Blueberries"
Menu Flash Cards,99,Fruit Bowl,2,In a soup bowl on a round plate with a doilie
